label,LST,NDVI,elevation,ACQ_DATE
1,15468.5,6340.0,743,1627516800000
1,15727.0,5935.0,322,1627430400000
1,15551.0,6090.0,977,1627776000000
1,15629.0,3689.0,475,1627516800000
1,15736.0,4710.0,551,1627948800000
1,15580.0,4654.0,390,1627516800000
1,15716.0,5543.0,428,1627948800000
1,15729.0,5576.0,205,1627516800000
1,15627.0,5788.0,557,1627776000000
0,15453.0,4360.0,1103,1627245083647
0,15677.0,5155.0,302,1627245083647
1,15544.0,6060.0,816,1627776000000
1,15769.5,4072.0,224,1627516800000
0,15332.0,5463.0,1033,1627245083647
1,15498.0,5989.0,808,1627862400000
1,15689.5,5378.0,494,1627603200000
1,15636.5,4517.0,261,1627603200000
0,15308.0,1967.0,1923,1627245083647
1,15836.5,3744.0,161,1627516800000
0,15345.0,5927.0,683,1627245083647
0,15515.5,5816.5,603,1625938355658
1,15537.5,5915.0,346,1627516800000
1,15581.5,6828.0,226,1627430400000
1,15798.0,5931.0,203,1627516800000
0,15249.0,4014.0,1581,1626707220859
1,15698.0,5867.0,390,1627862400000
0,15366.0,5805.0,805,1625730500377
0,14981.0,1834.0,2427,1627245083647
0,16098.0,2075.0,841,1626681226777
1,15657.0,4861.0,533,1627776000000
1,15236.0,4567.0,1570,1627776000000
1,15664.0,5931.0,353,1627430400000
1,15697.0,6515.0,485,1627862400000
1,15604.0,4502.0,799,1627948800000
1,15611.0,6005.0,684,1627948800000
0,15646.0,2434.0,1464,1627245083647
1,15716.0,3543.0,271,1627689600000
1,15420.0,6391.0,605,1628640000000
0,15569.0,3860.0,516,1627245083647
1,15468.0,4713.0,1233,1627689600000
1,15618.0,5720.0,658,1627776000000
1,15562.5,5790.0,719,1627603200000
1,15583.0,5327.0,602,1627948800000
0,15532.0,1799.0,1965,1627245083647
1,15715.0,5793.0,282,1627776000000
1,15650.0,5682.0,591,1627689600000
1,15231.0,4056.0,1555,1627948800000
1,15772.5,4831.0,143,1627516800000
1,15799.5,3475.0,40,1627430400000
1,15414.0,6636.0,507,1628640000000
1,15527.0,6917.0,505,1628035200000
1,15269.0,5117.0,1523,1627862400000
1,15809.5,3897.0,111,1627516800000
1,15343.0,5913.0,942,1627603200000
0,15603.0,2244.0,1303,1626957839604
1,15459.5,6051.0,980,1627603200000
1,15351.5,5640.0,1110,1628208000000
1,15787.0,4660.0,902,1627689600000
0,15368.0,5985.0,1109,1627245083647
0,15652.0,4366.0,46,1627245083647
0,15226.0,3460.0,1875,1627199506760
1,15600.0,5163.0,395,1627862400000
0,15573.0,3442.0,1240,1627245083647
0,15381.5,4901.0,885,1625326864044
1,15796.0,5708.0,192,1627776000000
1,15554.0,5693.0,801,1627689600000
0,15515.0,5109.0,696,1627245083647
0,15420.0,5592.0,119,1627245083647
1,15621.0,6819.0,962,1627689600000
1,15604.0,4502.0,799,1627689600000
1,15680.0,3768.0,123,1627516800000
0,15181.0,5322.0,1393,1627245083647
1,15566.0,5543.0,252,1628640000000
1,15707.0,4797.0,922,1627776000000
0,15357.5,5309.0,548,1625265996262
1,15622.0,5141.0,938,1627862400000
1,15822.5,2507.0,98,1627516800000
1,15297.0,5471.0,1578,1627689600000
1,15461.0,5534.0,1220,1627862400000
1,15509.0,5631.0,835,1627862400000
1,15585.0,4588.0,549,1627516800000
0,15521.5,5224.0,479,1625474129560
1,15626.0,6240.0,623,1627776000000
0,15361.0,3342.0,2205,1627245083647
0,15246.0,2320.0,1962,1626063978728
0,15204.0,2464.0,1869,1627245083647
1,15774.5,4970.5,159,1627430400000
1,15532.0,5984.0,715,1627689600000
1,15536.0,5639.0,938,1627948800000
1,15446.0,5502.0,1047,1627862400000
1,15620.0,5873.0,189,1627430400000
1,15837.5,5376.0,128,1627516800000
1,15410.0,5544.0,1358,1627689600000
1,15630.0,5334.0,670,1627862400000
0,15447.0,6047.0,376,1627245083647
1,15346.5,5449.0,1426,1628035200000
1,15597.0,4995.0,1076,1627689600000
1,15628.0,4525.0,296,1627862400000
0,15674.0,2903.0,1510,1626495725675
0,15741.0,3342.0,298,1627245083647
0,15658.0,1759.0,1406,1627245083647
0,15715.0,3693.0,134,1627245083647
0,15776.0,2477.0,1063,1627245083647
1,15651.0,3543.0,306,1627603200000
1,15866.0,6570.0,260,1627689600000
1,15672.5,6429.5,402,1627430400000
0,15169.0,4208.0,1862,1627245083647
